student_id,recommended_exercises
92272,"121,121,316,416,449,569,1981,2193,2214,3357,3542,3645,3819,4233,4657,4833,4945,5488,8572,362"
54666,"166,189,210,426,697,2192,2209,2416,2888,3293,3355,3397,4578,4596,4835,5120,5153,7076,7077,8980"
62525,"98,100,143,219,705,879,2167,2388,2826,3374,3422,3429,3541,3643,4024,4680,4845,5148,5458,6888"
106313,"98,210,371,597,654,2153,2269,2402,2417,3347,3353,3372,3540,4086,4653,4692,5120,5142,5153,5488"
106286,"91,97,172,284,939,2156,2191,2200,2492,3352,3372,3541,4680,4825,4832,6225,6969,8122,6295,723"
116673,"121,143,168,223,417,456,472,687,1981,2295,2827,3350,3397,3477,3644,4193,4236,5155,6296,7787"
93790,"98,162,223,386,433,463,654,805,2166,2213,3353,3375,3483,4086,4824,5617,7738,8135,8155,3373"
56528,"209,221,416,446,569,2165,2294,3293,3396,3422,4193,7078,8570,8990,8990,8990,8990,8990,8990,8990"
92020,"90,101,178,209,210,222,234,316,426,449,2153,2662,3260,3301,3350,3374,4233,4863,5130,8982"
46989,"97,102,176,190,211,223,232,284,723,2156,3351,3353,3539,3641,4244,4401,4681,4785,5156,7065"
105729,"162,1979,2851,4479,4680,5130,5860,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589,8589"
111370,"143,169,190,232,983,1981,2401,2856,3351,3372,3598,4038,4472,4669,4881,5119,5159,5618,5130,4833"
70739,"98,103,161,209,222,234,302,514,854,1980,2677,3351,3352,3376,3643,4843,5145,5652,6317,8162"
111903,"91,104,190,284,464,2192,2221,2683,3394,3486,4193,4302,4680,4822,5154,5157,8398,8982,8982,4835"
57292,"160,217,233,302,386,462,1128,1979,2172,2645,2859,3301,3393,3394,3539,4600,4822,4825,5119,8990"
69185,"90,92,108,172,217,231,417,454,723,2192,2677,2888,3422,3598,4492,4702,5156,7066,7786,8568"
28485,"90,99,208,261,427,431,442,449,989,1126,2200,2388,2661,2679,4467,4686,4822,4827,4876,5119"
115876,"100,161,433,684,936,1128,2170,2415,2661,3293,3372,3642,4491,4874,4884,5154,5459,5652,6990,7986"
51569,"92,104,217,284,705,806,936,2165,2388,2415,2648,2681,3273,3423,3484,3541,3645,4015,6990,8398"
108356,"99,105,220,284,324,1125,1979,2294,2489,2681,2849,3481,3598,4669,4825,4835,4884,5488,7738,8567"
105213,"91,102,107,208,210,282,420,427,2046,2172,2200,2213,2677,2851,3241,3437,3539,4692,4827,6295"
68106,"91,104,108,207,210,222,475,684,940,1980,2492,2826,3260,4193,4823,4824,4870,5149,7075,7079"
62547,"91,97,172,178,210,471,1981,2678,3258,3372,3482,4015,4883,5138,5145,5216,5859,7738,7790,8980"
57298,"90,98,108,168,217,316,427,569,687,2167,2276,2492,2827,3350,3484,3647,4657,4669,5142,5458"
100610,"91,208,220,267,683,805,1130,2156,2677,2683,3372,3421,3477,4234,4778,5117,5148,5153,6855,8576"
29161,"90,261,413,442,470,2172,2283,2306,2826,2851,3372,3487,3820,4401,4601,4657,4680,4843,5859,8366"
54729,"209,368,2677,4600,5120,5155,8581,8982,2704,3241,2169,4822,700,7903,2357,207,3645,2192,3600,162"
33734,"90,509,654,936,3600,5147,3358,220,4681,7079,7077,5458,8269,4824,2215,2662,8573,4876,102,687"
81929,"143,162,177,261,284,983,2140,2308,2415,2492,2645,2704,3374,4692,4833,6225,7106,8156,8366,8587"
52775,"90,91,97,121,210,219,231,432,597,683,723,2704,3294,3350,3540,4472,4578,4693,5143,7077"
106680,"162,169,210,282,476,654,805,854,1127,1129,2045,2206,2221,2349,2840,3362,3481,4702,4858,8990"
68118,"90,97,143,282,700,2192,2401,2645,2859,3351,3374,3421,3477,4024,4603,4863,6225,7075,7082,8958"
91686,"161,169,221,267,468,471,518,806,939,2192,2469,2849,2856,3484,3487,3820,4657,5859,7066,8572"
105039,"143,178,218,426,936,1128,1132,2169,2192,2218,2399,2677,2679,2680,3357,3376,3429,5162,5616,8399"
57295,"98,100,209,302,697,1130,1980,2207,2677,3375,3437,4467,4780,4945,5122,5151,5157,5162,6296,7905"
105178,"91,103,212,423,459,684,936,2192,2213,2295,2681,3402,3484,3487,4491,4778,5130,5652,7066,8579"
65798,"90,102,190,219,233,267,454,654,805,2045,2214,2678,2683,3293,3483,3820,4824,4835,5154,8579"
57303,"91,98,109,514,1979,2165,2212,2215,2662,3372,3436,3599,4601,4673,4692,4780,4860,5153,7373,8958"
64419,"121,316,423,597,806,2207,2295,2401,2417,3272,3350,3481,4086,4235,4693,4827,4858,5118,5153,6317"
111636,"99,162,192,221,282,432,1131,2170,2423,2648,3258,3396,3436,3541,4236,4824,5156,7373,7787,8990"
55693,"101,169,212,220,518,854,1980,1981,2200,3294,3301,3353,3421,3599,4024,4472,4702,4881,5130,6317"
116781,"100,162,172,235,432,514,806,1131,2169,2645,2888,3371,3540,3641,4702,4824,4876,5618,7080,7329"
116804,"160,362,389,444,491,1131,2153,2169,2489,3252,3356,3643,3819,4673,5142,5153,6294,6989,7070,7789"
40751,"91,97,235,416,1127,2193,2294,2681,3294,3413,3598,3599,4489,4766,4876,5122,5143,5860,7329,7789"
105611,"161,178,207,233,413,475,854,2489,3258,3294,3301,3376,3820,4015,4693,4883,6855,6888,7079,2283"
116947,"91,99,105,106,177,284,386,423,1126,2046,2169,3294,3303,3372,3702,5117,5488,5860,7065,7373"
54745,"143,166,207,217,218,246,416,684,941,2165,2308,2401,2681,2761,2851,3353,4233,4244,5150,6888"
68482,"91,230,316,324,459,468,1128,1131,2165,2294,2662,2827,3486,3641,3819,4653,4876,5145,5154,5859"
106687,"91,207,213,221,476,683,1981,2153,2304,2492,2704,2848,3258,3396,3642,4233,4863,5119,5216,7373"
40423,"143,207,210,246,267,936,1981,2047,2215,2469,2662,3272,3819,4467,4945,5161,5859,7074,7247,3641"
105967,"90,92,100,232,386,476,2192,2213,2401,2404,2681,2826,3241,3375,3644,4472,4596,5130,5142,5145"
106806,"90,103,219,282,456,1979,2304,2359,2680,3287,3294,3421,3437,3482,4681,5160,5618,7079,8575,8589"
69346,"90,92,99,108,162,177,211,316,475,941,1980,2417,2848,3371,3945,4766,4945,5130,6296,3395"
93142,"98,172,219,412,423,509,654,879,2169,2308,3258,3353,3376,3542,4766,4858,4876,5151,7066,8023"
107496,"98,143,161,231,389,700,722,2156,2399,2661,2677,3294,3374,3376,3397,3541,3820,4086,4883,5161"
54731,"90,105,177,211,219,223,417,1127,2169,2200,2304,2678,2849,3293,3372,3395,4234,4600,6990,7247"
57505,"92,98,99,208,941,1980,2192,2213,2214,2215,2417,2428,5118,5130,5154,5216,6855,8023,8156,8581"
106710,"222,1980,2401,2851,3350,3353,4015,5148,6642,7106,8982,8122,171,2046,2680,442,8581,4600,6315,4244"
