u_id,e_id,forget
27608,2046,0.00702
27608,2140,0.00702
27608,2172,0.00702
27608,2276,0.00702
27608,2304,0.01404
27608,2367,0.02808
27608,2856,0.00702
27608,2849,0.00702
27608,2848,0.00702
27608,3301,0.00702
27608,2221,0.00702
27608,2275,0.00702
27608,2269,0.00702
27608,2271,0.00702
27608,2492,0.00702
27608,2761,0.00702
27608,143,0.01404
27608,2048,0.00702
27608,2308,0.00702
27608,2218,0.00702
27608,2283,0.00702
27608,2306,0.00702
27608,2840,0.00702
27608,2489,0.00702
27608,3487,0.01404
27608,3362,0.01404
27608,3365,0.02808
27608,2349,0.00702
27608,2047,0.00702
27608,3258,0.00702
27608,697,0.00702
27110,92,0.00702
27110,208,0.01404
27110,209,0.01404
27110,221,0.01404
27110,222,0.01404
27110,218,0.01404
27110,219,0.01404
27110,211,0.00702
27110,213,0.00702
27110,100,0.00702
27110,97,0.00702
27110,108,0.00702
27110,109,0.00702
27110,102,0.00702
27110,103,0.00702
27110,105,0.00702
27110,178,0.01404
27110,220,0.01404
27110,177,0.01404
27110,784,0.00702
27110,879,0.00702
27110,806,0.00702
27110,2888,0.00702
27110,160,0.00702
27110,172,0.01404
27110,171,0.02808
27110,173,0.04213
27110,231,0.01404
27110,230,0.01404
27110,232,0.01404
27110,169,0.01404
27110,174,0.02808
27110,161,0.00702
27110,190,0.00702
27110,234,0.01404
27110,246,0.02106
26277,92,0.00702
26277,207,0.01404
26277,209,0.01404
26277,210,0.01404
26277,221,0.01404
26277,223,0.01404
26277,219,0.01404
26277,211,0.00702
26277,212,0.00702
26277,100,0.00702
26277,97,0.00702
26277,108,0.00702
26277,109,0.00702
26277,102,0.00702
26277,103,0.00702
26277,105,0.00702
26277,178,0.01404
26277,177,0.01404
26277,3421,0.00702
26277,805,0.00702
26277,879,0.00702
26277,806,0.00702
26277,420,0.00702
26277,168,0.00702
26277,459,0.00702
26277,463,0.00702
26277,160,0.00702
26277,172,0.01404
26277,171,0.02808
26277,173,0.04213
26277,231,0.01404
26277,230,0.01404
26277,232,0.01404
26277,233,0.01404
26277,169,0.01404
26277,161,0.00702
26277,190,0.00702
26277,192,0.00702
26277,235,0.01404
26111,90,0.00702
26111,91,0.00702
26111,207,0.01404
26111,210,0.01404
26111,221,0.01404
26111,222,0.01404
26111,223,0.01404
26111,217,0.01404
26111,218,0.01404
26111,219,0.01404
26111,211,0.00702
26111,212,0.00702
26111,213,0.00702
26111,98,0.00702
26111,100,0.00702
26111,99,0.00702
26111,109,0.00702
26111,101,0.00702
26111,102,0.00702
26111,103,0.00702
26111,104,0.00702
26111,106,0.00702
26111,176,0.00702
26111,178,0.01404
26111,220,0.01404
26111,805,0.00702
26111,879,0.00702
26111,806,0.00702
26111,168,0.00702
26111,684,0.02106
26111,2859,0.00702
26111,172,0.01404
26111,231,0.01404
26111,232,0.01404
26111,161,0.00702
26111,189,0.00702
26111,190,0.00702
26111,234,0.01404
26111,192,0.00702
26111,235,0.01404
26807,91,0.00702
26807,208,0.01404
26807,210,0.01404
26807,221,0.01404
26807,223,0.01404
26807,217,0.01404
26807,218,0.01404
26807,219,0.01404
26807,211,0.00702
26807,98,0.00702
26807,100,0.00702
26807,107,0.00702
26807,108,0.00702
26807,109,0.00702
26807,101,0.00702
26807,104,0.00702
26807,105,0.00702
26807,176,0.00702
26807,220,0.01404
26807,784,0.00702
26807,805,0.00702
26807,879,0.00702
26807,806,0.00702
26807,2859,0.00702
26807,3423,0.00702
26807,160,0.00702
26807,162,0.00702
26807,171,0.02808
26807,170,0.02808
26807,173,0.04213
26807,231,0.01404
26807,230,0.01404
26807,232,0.01404
26807,174,0.02808
26807,161,0.00702
26807,189,0.00702
26807,234,0.01404
26807,192,0.00702
26278,91,0.00702
26278,208,0.01404
26278,210,0.01404
26278,222,0.01404
26278,223,0.01404
26278,217,0.01404
26278,218,0.01404
26278,219,0.01404
26278,211,0.00702
26278,98,0.00702
26278,100,0.00702
26278,107,0.00702
26278,108,0.00702
26278,109,0.00702
26278,101,0.00702
26278,102,0.00702
26278,103,0.00702
26278,104,0.00702
26278,176,0.00702
26278,220,0.01404
26278,177,0.01404
26278,784,0.00702
26278,805,0.00702
26278,879,0.00702
26278,3422,0.00702
26278,160,0.00702
26278,171,0.02808
26278,170,0.02808
26278,173,0.04213
26278,230,0.01404
26278,232,0.01404
26278,233,0.01404
26278,169,0.01404
26278,174,0.02808
26278,189,0.00702
26278,246,0.02106
26278,235,0.01404
26546,90,0.00702
26546,91,0.00702
26546,207,0.01404
26546,208,0.01404
26546,209,0.01404
26546,210,0.01404
26546,221,0.01404
26546,222,0.01404
26546,223,0.01404
26546,217,0.01404
26546,218,0.01404
26546,219,0.01404
26546,213,0.00702
26546,98,0.00702
26546,100,0.00702
26546,99,0.00702
26546,109,0.00702
26546,101,0.00702
26546,102,0.00702
26546,103,0.00702
26546,105,0.00702
26546,176,0.00702
26546,178,0.01404
26546,220,0.01404
26546,302,0.00702
26546,805,0.00702
26546,879,0.00702
26546,806,0.00702
26546,684,0.02106
26546,2859,0.00702
26546,160,0.00702
26546,162,0.00702
26546,172,0.01404
26546,231,0.01404
26546,232,0.01404
26546,189,0.00702
26546,190,0.00702
26546,234,0.01404
26546,192,0.00702
26546,235,0.01404
26658,91,0.00702
26658,92,0.00702
26658,207,0.01404
26658,208,0.01404
26658,221,0.01404
26658,223,0.01404
26658,217,0.01404
26658,219,0.01404
26658,211,0.00702
26658,212,0.00702
26658,213,0.00702
26658,98,0.00702
26658,100,0.00702
26658,97,0.00702
26658,107,0.00702
26658,102,0.00702
26658,103,0.00702
26658,104,0.00702
26658,220,0.01404
26658,177,0.01404
26658,3421,0.00702
26658,302,0.00702
26658,687,0.01404
26658,784,0.00702
26658,805,0.00702
26658,879,0.00702
26658,806,0.00702
26658,160,0.00702
26658,172,0.01404
26658,171,0.02808
26658,232,0.01404
26658,233,0.01404
26658,169,0.01404
26658,174,0.02808
26658,161,0.00702
26658,189,0.00702
26658,190,0.00702
26658,246,0.02106
26658,235,0.01404
26808,91,0.00702
26808,208,0.01404
26808,210,0.01404
26808,221,0.01404
26808,222,0.01404
26808,223,0.01404
26808,217,0.01404
26808,218,0.01404
26808,219,0.01404
26808,211,0.00702
26808,98,0.00702
26808,100,0.00702
26808,107,0.00702
26808,108,0.00702
26808,109,0.00702
26808,101,0.00702
26808,102,0.00702
26808,103,0.00702
26808,104,0.00702
26808,176,0.00702
26808,220,0.01404
26808,177,0.01404
26808,784,0.00702
26808,879,0.00702
26808,3422,0.00702
26808,160,0.00702
26808,172,0.01404
26808,171,0.02808
26808,170,0.02808
26808,173,0.04213
26808,231,0.01404
26808,174,0.02808
26808,189,0.00702
26808,190,0.00702
26808,246,0.02106
26808,192,0.00702
26494,92,0.00702
26494,207,0.01404
26494,209,0.01404
26494,221,0.01404
26494,222,0.01404
26494,223,0.01404
26494,218,0.01404
26494,219,0.01404
26494,211,0.00702
26494,212,0.00702
26494,100,0.00702
26494,97,0.00702
26494,108,0.00702
26494,109,0.00702
26494,102,0.00702
26494,103,0.00702
26494,105,0.00702
26494,178,0.01404
26494,220,0.01404
26494,177,0.01404
26494,784,0.00702
26494,805,0.00702
26494,879,0.00702
26494,806,0.00702
26494,3422,0.00702
26494,160,0.00702
26494,171,0.02808
26494,170,0.02808
26494,173,0.04213
26494,231,0.01404
26494,230,0.01404
26494,233,0.01404
26494,169,0.01404
26494,174,0.02808
26494,161,0.00702
26494,246,0.02106
26494,192,0.00702
26998,92,0.00702
26998,207,0.01404
26998,209,0.01404
26998,221,0.01404
26998,222,0.01404
26998,223,0.01404
26998,218,0.01404
26998,219,0.01404
26998,211,0.00702
26998,212,0.00702
26998,100,0.00702
26998,97,0.00702
26998,108,0.00702
26998,109,0.00702
26998,102,0.00702
26998,103,0.00702
26998,105,0.00702
26998,178,0.01404
26998,220,0.01404
26998,177,0.01404
26998,784,0.00702
26998,805,0.00702
26998,879,0.00702
26998,806,0.00702
26998,3422,0.00702
26998,160,0.00702
26998,171,0.02808
26998,170,0.02808
26998,173,0.04213
26998,231,0.01404
26998,230,0.01404
26998,233,0.01404
26998,169,0.01404
26998,174,0.02808
26998,161,0.00702
26998,246,0.02106
26998,192,0.00702
27147,91,0.00702
27147,208,0.01404
27147,210,0.01404
27147,221,0.01404
27147,223,0.01404
27147,217,0.01404
27147,218,0.01404
27147,219,0.01404
27147,211,0.00702
27147,98,0.00702
27147,100,0.00702
27147,107,0.00702
27147,108,0.00702
27147,109,0.00702
27147,101,0.00702
27147,102,0.00702
27147,103,0.00702
27147,104,0.00702
27147,176,0.00702
27147,220,0.01404
27147,177,0.01404
