u_id,k_id,mastery
27608,34,0.03123
27608,127,0.05634
27608,129,0.21957
27608,139,0.03221
27608,176,0.0311
27608,191,0.95996
27608,198,0.33436
27608,206,0.49721
27608,207,0.49076
27608,208,0.05863
27608,209,0.0587
27608,339,0.02905
27608,341,0.03396
27608,414,0.51193
27608,250,0.02903
27608,368,0.89871
27608,920,0.31613
27608,1329,0.02396
27608,1387,0.03241
27608,961,0.03106
27608,1402,0.02637
27608,1186,0.95575
27608,126,0.9451
27608,2380,0.02455
27110,125,0.18278
27110,127,0.85855
27110,128,0.88738
27110,129,0.8814
27110,135,0.9554
27110,139,0.0284
27110,209,0.33732
27110,980,0.92078
27110,347,0.28609
27110,1734,0.95513
27110,1043,0.76262
27110,378,0.96345
27110,944,0.58952
27110,943,0.77487
27110,942,0.57091
27110,2274,0.02788
27110,785,0.92112
27110,2956,0.77386
27110,358,0.95387
26277,125,0.26377
26277,127,0.24814
26277,128,0.4568
26277,129,0.26159
26277,135,0.93557
26277,139,0.31851
26277,209,0.74599
26277,290,0.05122
26277,549,0.04363
26277,252,0.0981
26277,1425,0.36967
26277,980,0.31236
26277,1734,0.10098
26277,1043,0.94584
26277,378,0.93886
26277,944,0.05549
26277,943,0.09705
26277,942,0.07084
26277,566,0.20817
26277,785,0.31331
26277,2956,0.942
26277,358,0.9332
26111,125,0.14343
26111,127,0.60409
26111,128,0.34296
26111,129,0.09556
26111,135,0.9119
26111,139,0.03202
26111,209,0.08297
26111,549,0.92673
26111,252,0.04323
26111,1553,0.71511
26111,1734,0.95098
26111,1043,0.11017
26111,378,0.03779
26111,944,0.57535
26111,2157,0.96283
26111,942,0.57368
26111,2274,0.72017
26111,2956,0.11267
26111,358,0.79112
26807,125,0.97822
26807,127,0.96854
26807,128,0.96975
26807,129,0.95974
26807,135,0.40213
26807,209,0.96625
26807,252,0.96048
26807,1425,0.97003
26807,980,0.85208
26807,347,0.95276
26807,1734,0.96777
26807,1043,0.94596
26807,378,0.96413
26807,944,0.79868
26807,2157,0.97202
26807,943,0.7722
26807,942,0.81754
26807,785,0.86444
26807,2956,0.94022
26807,358,0.96902
26278,125,0.24732
26278,127,0.04327
26278,128,0.70276
26278,129,0.7952
26278,135,0.34655
26278,139,0.82946
26278,209,0.95325
26278,252,0.91378
26278,1425,0.0353
26278,980,0.93559
26278,347,0.95073
26278,1734,0.75527
26278,1043,0.95975
26278,944,0.92949
26278,943,0.86356
26278,942,0.85609
26278,785,0.92853
26278,2956,0.9559
26278,358,0.94247
26546,125,0.20351
26546,127,0.47766
26546,128,0.83453
26546,129,0.23824
26546,135,0.0177
26546,139,0.02197
26546,209,0.1157
26546,549,0.95356
26546,252,0.97304
26546,1553,0.91748
26546,1734,0.02117
26546,1043,0.89923
26546,378,0.03051
26546,944,0.94143
26546,2157,0.0224
26546,942,0.93705
26546,2274,0.92295
26546,2956,0.89496
26546,358,0.09193
26658,60,0.95028
26658,125,0.48022
26658,127,0.0241
26658,128,0.95119
26658,129,0.95828
26658,135,0.97317
26658,139,0.95125
26658,209,0.97264
26658,549,0.97122
26658,252,0.97123
26658,1425,0.8945
26658,1553,0.95237
26658,980,0.96457
26658,347,0.97526
26658,1734,0.97264
26658,1043,0.97502
26658,378,0.97169
26658,944,0.95479
26658,943,0.964
26658,942,0.96133
26658,785,0.96376
26658,2956,0.97034
26658,358,0.97893
26808,125,0.03429
26808,127,0.28974
26808,128,0.04333
26808,129,0.14388
26808,135,0.05287
26808,139,0.05213
26808,209,0.92473
26808,1425,0.7477
26808,980,0.5583
26808,347,0.05256
26808,1734,0.04659
26808,1043,0.88182
26808,378,0.05158
26808,944,0.16535
26808,943,0.19331
26808,942,0.16759
26808,785,0.60751
26808,2956,0.87936
26808,358,0.04419
26494,125,0.06006
26494,127,0.20484
26494,128,0.0905
26494,129,0.10946
26494,135,0.95124
26494,139,0.03697
26494,209,0.03591
26494,252,0.04315
26494,1425,0.03763
26494,980,0.24606
26494,347,0.03948
26494,1734,0.03561
26494,1043,0.8407
26494,378,0.40102
26494,944,0.03744
26494,943,0.02927
26494,942,0.02975
26494,785,0.24534
26494,2956,0.84591
26998,125,0.1714
26998,127,0.47118
26998,128,0.07494
26998,129,0.58484
26998,135,0.9185
26998,139,0.84234
26998,209,0.2517
26998,252,0.92693
26998,1425,0.16824
26998,980,0.82442
26998,347,0.92086
26998,1734,0.28037
26998,1043,0.28353
26998,378,0.38926
26998,944,0.64954
26998,943,0.47147
26998,942,0.47917
26998,785,0.84114
26998,2956,0.26258
27147,125,0.37085
27147,127,0.90869
27147,128,0.8886
27147,129,0.37241
27147,135,0.04126
27147,139,0.0315
27147,209,0.9369
27147,252,0.89048
27147,980,0.1764
27147,347,0.96199
27147,1734,0.03177
27147,1043,0.9504
27147,378,0.73246
27147,944,0.21312
27147,2157,0.07107
27147,943,0.13921
27147,942,0.23041
27147,785,0.16377
27147,2956,0.94937
27147,358,0.03341
27149,125,0.07474
27149,127,0.03489
27149,128,0.05484
27149,129,0.08644
27149,135,0.31937
27149,139,0.03069
27149,209,0.02887
27149,980,0.08399
27149,347,0.0352
27149,1734,0.04051
27149,1043,0.03328
27149,378,0.03247
27149,944,0.03873
27149,2157,0.48911
27149,943,0.04275
27149,942,0.04027
27149,785,0.08696
27149,2956,0.0337
27149,358,0.20231
27115,125,0.1176
27115,127,0.44183
27115,128,0.88862
27115,129,0.39481
27115,139,0.04864
27115,209,0.948
27115,252,0.69547
27115,347,0.04657
27115,1734,0.91206
27115,1043,0.0639
27115,378,0.05435
27115,944,0.32042
27115,943,0.27625
27115,942,0.27633
27115,2956,0.06658
27115,358,0.04751
27101,125,0.26558
27101,127,0.8372
27101,128,0.30114
27101,129,0.02731
27101,135,0.3361
27101,209,0.96469
27101,252,0.03005
27101,980,0.02726
27101,1734,0.03032
27101,1043,0.42233
27101,378,0.36593
27101,2305,0.02809
27101,944,0.02763
27101,943,0.02802
27101,942,0.0208
27101,785,0.02927
27101,2956,0.42982
27101,358,0.0296
27106,125,0.19061
27106,127,0.51683
27106,128,0.20013
27106,129,0.25016
27106,135,0.96127
27106,139,0.87383
27106,209,0.96162
27106,549,0.94714
27106,252,0.95554
27106,1553,0.89449
27106,1734,0.95813
27106,1043,0.78897
27106,378,0.96748
27106,944,0.82803
27106,2157,0.97212
27106,942,0.821
27106,2274,0.90691
27106,2956,0.80454
27106,358,0.33508
27976,125,0.53358
27976,127,0.92668
27976,128,0.64789
27976,129,0.44652
27976,135,0.94322
27976,139,0.03816
27976,209,0.11091
27976,252,0.03315
27976,347,0.31111
27976,1734,0.03697
27976,1043,0.03039
27976,378,0.03506
27976,2172,0.74881
27976,944,0.0627
27976,943,0.05935
27976,942,0.05368
27976,2956,0.02758
27976,358,0.9485
28036,125,0.98015
28036,127,0.96495
28036,128,0.96573
28036,129,0.96123
28036,135,0.97179
28036,139,0.96697
28036,209,0.9675
28036,252,0.95643
28036,347,0.97718
28036,1043,0.98947
28036,378,0.97896
28036,944,0.93407
28036,943,0.92343
28036,942,0.93906
28036,2956,0.99019
28036,358,0.97636
28015,125,0.22039
28015,127,0.20792
28015,128,0.25659
28015,129,0.36058
28015,135,0.86112
28015,139,0.6289
28015,209,0.5571
28015,252,0.8818
28015,347,0.81956
28015,1043,0.43094
28015,378,0.8213
28015,944,0.56522
28015,943,0.42791
28015,942,0.4684
28015,2956,0.43456
28015,358,0.38691
28049,125,0.06865
28049,127,0.08154
28049,128,0.0578
28049,129,0.10072
28049,135,0.92551
28049,139,0.04273
28049,209,0.07339
28049,252,0.04562
28049,1043,0.08653
28049,378,0.0441
28049,944,0.04129
28049,943,0.04878
28049,942,0.04726
28049,2956,0.07953
