u_id,k_id,occur
27608,34,0.97617
27608,127,0.97323
27608,129,0.97577
27608,139,0.9764
27608,176,0.9751
27608,191,0.96694
27608,198,0.97544
27608,206,0.9585
27608,207,0.96543
27608,208,0.9708
27608,209,0.96964
27608,339,0.97748
27608,341,0.97768
27608,414,0.97165
27608,250,0.97226
27608,368,0.94966
27608,920,0.97504
27608,1329,0.9764
27608,1387,0.97251
27608,961,0.97546
27608,1402,0.97585
27608,1186,0.95538
27608,126,0.95828
27608,2380,0.97446
27110,125,0.98893
27110,127,0.97144
27110,128,0.97014
27110,129,0.98157
27110,135,0.97439
27110,139,0.98457
27110,209,0.98403
27110,980,0.94996
27110,347,0.9832
27110,1734,0.97785
27110,1043,0.98181
27110,378,0.96594
27110,944,0.96673
27110,943,0.96932
27110,942,0.97745
27110,2274,0.98375
27110,785,0.95221
27110,2956,0.97087
27110,358,0.97065
26277,125,0.98399
26277,127,0.97577
26277,128,0.96789
26277,129,0.97167
26277,135,0.95981
26277,139,0.97223
26277,209,0.97403
26277,290,0.97812
26277,549,0.97844
26277,252,0.97757
26277,1425,0.9706
26277,980,0.95625
26277,1734,0.97755
26277,1043,0.92932
26277,378,0.96362
26277,944,0.98041
26277,943,0.96786
26277,942,0.97103
26277,566,0.97376
26277,785,0.95374
26277,2956,0.93437
26277,358,0.9577
26111,125,0.9883
26111,127,0.97444
26111,128,0.97562
26111,129,0.98052
26111,135,0.97192
26111,139,0.97662
26111,209,0.98218
26111,549,0.96012
26111,252,0.98151
26111,1553,0.94701
26111,1734,0.9699
26111,1043,0.97924
26111,378,0.98125
26111,944,0.96681
26111,2157,0.98252
26111,942,0.96943
26111,2274,0.9507
26111,2956,0.97823
26111,358,0.97226
26807,125,0.98086
26807,127,0.96428
26807,128,0.96484
26807,129,0.97442
26807,135,0.97486
26807,209,0.97361
26807,252,0.95881
26807,1425,0.98058
26807,980,0.91969
26807,347,0.9652
26807,1734,0.96727
26807,1043,0.94319
26807,378,0.96857
26807,944,0.95366
26807,2157,0.97234
26807,943,0.94792
26807,942,0.95534
26807,785,0.92901
26807,2956,0.9423
26807,358,0.96208
26278,125,0.98156
26278,127,0.97901
26278,128,0.96736
26278,129,0.97304
26278,135,0.97311
26278,139,0.96112
26278,209,0.95593
26278,252,0.97051
26278,1425,0.97946
26278,980,0.94804
26278,347,0.96102
26278,1734,0.96909
26278,1043,0.94507
26278,944,0.92994
26278,943,0.94791
26278,942,0.95098
26278,785,0.94166
26278,2956,0.95053
26278,358,0.96692
26546,125,0.98528
26546,127,0.97588
26546,128,0.96776
26546,129,0.96787
26546,135,0.9745
26546,139,0.97699
26546,209,0.96561
26546,549,0.91921
26546,252,0.9641
26546,1553,0.85513
26546,1734,0.97809
26546,1043,0.97023
26546,378,0.9763
26546,944,0.93801
26546,2157,0.97304
26546,942,0.9385
26546,2274,0.8192
26546,2956,0.97405
26546,358,0.97492
26658,60,0.91137
26658,125,0.9898
26658,127,0.98389
26658,128,0.976
26658,129,0.98132
26658,135,0.96473
26658,139,0.97428
26658,209,0.97077
26658,549,0.96466
26658,252,0.97597
26658,1425,0.98054
26658,1553,0.92185
26658,980,0.96665
26658,347,0.96367
26658,1734,0.97142
26658,1043,0.9527
26658,378,0.97391
26658,944,0.95809
26658,943,0.94534
26658,942,0.95646
26658,785,0.9693
26658,2956,0.94613
26658,358,0.97436
26808,125,0.9932
26808,127,0.98746
26808,128,0.98806
26808,129,0.99154
26808,135,0.98935
26808,139,0.98815
26808,209,0.97802
26808,1425,0.98681
26808,980,0.9789
26808,347,0.98914
26808,1734,0.98858
26808,1043,0.95319
26808,378,0.98815
26808,944,0.98566
26808,943,0.97976
26808,942,0.98571
26808,785,0.9803
26808,2956,0.95277
26808,358,0.9892
26494,125,0.9826
26494,127,0.97695
26494,128,0.97699
26494,129,0.98015
26494,135,0.96752
26494,139,0.97939
26494,209,0.97979
26494,252,0.98083
26494,1425,0.97531
26494,980,0.97334
26494,347,0.97663
26494,1734,0.97703
26494,1043,0.96191
26494,378,0.97748
26494,944,0.97795
26494,943,0.98093
26494,942,0.97846
26494,785,0.97131
26494,2956,0.96885
26998,125,0.98688
26998,127,0.97564
26998,128,0.98459
26998,129,0.9815
26998,135,0.97303
26998,139,0.97328
26998,209,0.98253
26998,252,0.96674
26998,1425,0.98126
26998,980,0.94571
26998,347,0.97484
26998,1734,0.98455
26998,1043,0.98025
26998,378,0.98004
26998,944,0.96121
26998,943,0.96874
26998,942,0.96819
26998,785,0.95035
26998,2956,0.98399
27147,125,0.98039
27147,127,0.94841
27147,128,0.95604
27147,129,0.97256
27147,135,0.96905
27147,139,0.97623
27147,209,0.95376
27147,252,0.95949
27147,980,0.95385
27147,347,0.94865
27147,1734,0.97663
27147,1043,0.95915
27147,378,0.97404
27147,944,0.95268
27147,2157,0.97289
27147,943,0.95453
27147,942,0.95406
27147,785,0.94822
27147,2956,0.95397
27147,358,0.97531
27149,125,0.98321
27149,127,0.97431
27149,128,0.97191
27149,129,0.97523
27149,135,0.97174
27149,139,0.97368
27149,209,0.97936
27149,980,0.96724
27149,347,0.97217
27149,1734,0.97324
27149,1043,0.97634
27149,378,0.97339
27149,944,0.97271
27149,2157,0.97222
27149,943,0.97273
27149,942,0.97417
27149,785,0.97305
27149,2956,0.97719
27149,358,0.97324
27115,125,0.9928
27115,127,0.987
27115,128,0.97635
27115,129,0.98667
27115,139,0.98963
27115,209,0.98199
27115,252,0.98592
27115,347,0.99083
